fold,epoch,loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,learning_rate,recursive_val_rmse,recursive_val_mae
1,1,0.27502956986427307,0.183502659201622,122.90592193603516,90.43354797363281,88.257568359375,62.61434555053711,0.0005000000237487257,63.42112350463867,40.75022888183594
1,2,0.12430672347545624,0.10493016242980957,70.71419525146484,71.03741455078125,49.7574577331543,48.52093505859375,0.0005000000237487257,63.42112350463867,40.75022888183594
1,3,0.08805584907531738,0.08117753267288208,65.59834289550781,63.56177520751953,45.6622314453125,42.058128356933594,0.0005000000237487257,63.42112350463867,40.75022888183594
1,4,0.07289836555719376,0.07582265138626099,63.92234802246094,62.54941940307617,44.051177978515625,40.637420654296875,0.0005000000237487257,63.42112350463867,40.75022888183594
1,5,0.067833311855793,0.07397747039794922,61.68488693237305,61.34608840942383,42.31990432739258,40.06462860107422,0.0005000000237487257,63.42112350463867,40.75022888183594
1,6,0.06527122855186462,0.06916916370391846,56.86268615722656,59.73725891113281,38.85215377807617,38.528316497802734,0.0005000000237487257,63.42112350463867,40.75022888183594
1,7,0.05898822471499443,0.06387597322463989,52.98297119140625,58.90766525268555,35.7755012512207,37.89776611328125,0.0005000000237487257,63.42112350463867,40.75022888183594
1,8,0.055661629885435104,0.060253072530031204,51.43178176879883,58.481754302978516,34.508323669433594,37.39845275878906,0.0005000000237487257,63.42112350463867,40.75022888183594
1,9,0.05454741418361664,0.05998210236430168,50.46967697143555,58.07916259765625,34.15346908569336,36.908111572265625,0.0005000000237487257,63.42112350463867,40.75022888183594
1,10,0.05277104303240776,0.06797423213720322,48.80581283569336,59.370784759521484,32.867042541503906,38.23106384277344,0.0005000000237487257,63.42112350463867,40.75022888183594
1,11,0.05056716501712799,0.06077413633465767,49.56547546386719,61.88368606567383,33.11323165893555,39.41798782348633,0.0005000000237487257,63.42112350463867,40.75022888183594
1,12,0.04924658685922623,0.06661778688430786,49.77692413330078,60.47389602661133,33.69404220581055,39.004573822021484,0.0005000000237487257,63.42112350463867,40.75022888183594
1,13,0.04716264456510544,0.07142401486635208,45.55585861206055,63.40522766113281,30.015554428100586,40.81935119628906,0.0002500000118743628,63.42112350463867,40.75022888183594
1,14,0.04626820236444473,0.06995754688978195,44.015098571777344,64.90928649902344,28.566455841064453,41.618682861328125,0.0002500000118743628,63.42112350463867,40.75022888183594
1,15,0.04442115128040314,0.07274147868156433,42.780941009521484,63.37567138671875,27.16602325439453,40.84236145019531,0.0002500000118743628,63.42112350463867,40.75022888183594
1,16,0.043667711317539215,0.06919335573911667,40.0395393371582,63.37346649169922,25.339235305786133,40.554813385009766,0.0001250000059371814,63.42112350463867,40.75022888183594
