fold,epoch,loss,mean_absolute_error
final,1,0.22454795241355896,0.5181688666343689
final,2,0.1595611274242401,0.41538965702056885
final,3,0.12577937543392181,0.3582548499107361
final,4,0.10237318277359009,0.3196031451225281
final,5,0.09179551154375076,0.30094143748283386
final,6,0.08188185840845108,0.2823363244533539
final,7,0.07507346570491791,0.26715630292892456
final,8,0.06830419600009918,0.25267836451530457
final,9,0.06440553814172745,0.2444169521331787
final,10,0.06353389471769333,0.24343252182006836
final,11,0.05948955938220024,0.23435240983963013
final,12,0.0566011406481266,0.22888146340847015
final,13,0.05414286255836487,0.22287115454673767
final,14,0.05398125573992729,0.2235383838415146
final,15,0.05193990096449852,0.21796874701976776
final,16,0.048169851303100586,0.20954594016075134
final,17,0.04608345031738281,0.20413772761821747
final,18,0.04584166780114174,0.20500804483890533
final,19,0.04395846277475357,0.2006351202726364
final,20,0.04223822057247162,0.19547119736671448
final,21,0.04311850294470787,0.19701923429965973
final,22,0.04217000678181648,0.19379185140132904
final,23,0.0405120886862278,0.19199757277965546
final,24,0.03833997994661331,0.1865631341934204
final,25,0.038432616740465164,0.18549823760986328
